TaxID,ScientificName,ParentTaxID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies
1132860,Paxillus_ammoniavirescens,5395,Fungi,Basidiomycota,Agaricomycetes,Boletales,Paxillaceae,Paxillus,Paxillus ammoniavirescens,
1133049,Thermoascus_aurantiacus_ATCC_26904,5087,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Thermoascaceae,Thermoascus,Thermoascus aurantiacus,
1133088,Conogethes_punctiferalis,1004730,Metazoa,Arthropoda,Insecta,Lepidoptera,Crambidae,Conogethes,Conogethes punctiferalis,
113330,Melitaea_athalia,596672,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Melitaea,Melitaea athalia,
113334,Melitaea_cinxia,104514,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Melitaea,Melitaea cinxia,
113335,Melitaea_deione,596672,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Melitaea,Melitaea deione,
113337,Melitaea_diamina,104514,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Melitaea,Melitaea diamina,
113340,Melitaea_parthenoides,596672,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Melitaea,Melitaea parthenoides,
1133412,Tigriopus_kingsejongensis,6831,Metazoa,Arthropoda,Hexanauplia,Harpacticoida,Harpacticidae,Tigriopus,Tigriopus kingsejongensis,
113342,Melitaea_phoebe,104514,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Melitaea,Melitaea phoebe,
113345,Melitaea_trivia,104514,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Melitaea,Melitaea trivia,
113346,Melitaea_varia,596672,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Melitaea,Melitaea varia,
1133662,Adenomera_lutzi,248943,Metazoa,Chordata,Amphibia,Anura,Leptodactylidae,Adenomera,Adenomera lutzi,
1133663,Anomaloglossus_kaiei,479886,Metazoa,Chordata,Amphibia,Anura,Aromobatidae,Anomaloglossus,Anomaloglossus kaiei,
1134040,Anthracocystis_walkeri,1392992,Fungi,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Anthracocystis,Anthracocystis walkeri,
1134041,Ustanciosporium_gigantosporum,307709,Fungi,Basidiomycota,Ustilaginomycetes,Ustilaginales,Cintractiaceae,Ustanciosporium,Ustanciosporium gigantosporum,
